企画名,団体名,#一号館,#二号館,#三号館,#四号館,#校庭,教室,紹介文,#受験生向け,#アクティビティ,#文化系企画,#理科系企画,#動画,#音楽,#パフォーマンス,#試合観戦,#飲食,#購買,@画像,企画名ふりがな,団体名ふりがな,,
Festival concert 2018,吹奏楽部,TRUE,FALSE,FALSE,FALSE,FALSE,体育館,我々吹奏楽部はこの学園祭に向けて日々練習を重ねてまいりました。なのでぜひ私達の奏でる音を聞きに来ていただければとても嬉しいです。,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\1号館\吹奏楽部.jpg""",Festival concert 2018,すいそうがくぶ,,
生物部,生物部,FALSE,TRUE,FALSE,FALSE,FALSE,生物実験室,部員の研究発表と水槽の生物の展示、標本室・屋上の開放をしています。ぜひ、お越しください！,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\2号館\生物部.png""",せいぶつぶ,せいぶつぶ,,
理化学部,理化学部,FALSE,TRUE,FALSE,FALSE,FALSE,化学実験室,部活内での実験・研究の発表、液体窒素と炎色反応の演示実験、そして皆様が体験できる実験を用意しています。ぜひお越しください。,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\2号館\理化学部.jpg""",りかがくぶ,りかがくぶ,,
ガンダム研究同好会,ガンダム研究同好会,FALSE,TRUE,FALSE,FALSE,FALSE,技術室,ガンプラ・ジオラマの展示、製作実演やゲーム体験など盛りだくさんです！去年よりパワーアップしたガン研に是非いらしてください！,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\2号館\ガンダム研究同好会.jpeg""",がんだむけんきゅうどうこうかい,がんだむけんきゅうどうこうかい,,
コンピューター部,コンピューター部,FALSE,TRUE,FALSE,FALSE,FALSE,物理実験室,当コンピューター部では、部員が自作したwindows向けのゲームの展示、ディスクによる配布を行っております。ディスクの回収だけでも構いません。ぜひおこしくださいませ。,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\2号館\コンピューター部.jpg""",こんぴゅーたーぶ,こんぴゅーたーぶ,,
「平成」,美術部,FALSE,TRUE,FALSE,FALSE,FALSE,美術室,平成も今年で最後ということで、この時代に起こったことを振り返り、それをテーマに作品を作りました。ぜひ見に来てください！,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\2号館\美術部.png""",へいせい,びじゅつぶ,,
presto+,高1有志,FALSE,TRUE,FALSE,FALSE,FALSE,音楽室,ピアノ演奏を中心に攻玉社生徒による発表会を行います。音楽好きの人もそうでない人も2号館4階に集合！,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\2号館\高1有志.jpg""",presto,こう1ゆうし,,
剣道大会,剣道部,FALSE,TRUE,FALSE,FALSE,FALSE,剣道場,「集え剣士達」高校生各クラスから選りすぐりの3名を選んで行われる剣道大会！今年も白熱の予感....！？,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\2号館\剣道部.png""",けんどうたいかい,けんどうぶ,,
柔道大会,柔道部,FALSE,TRUE,FALSE,FALSE,FALSE,柔道場,各クラスから選ばれた3人の精鋭による団体戦。果たしてどんな戦いが始まるのか、、、。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\2号館\柔道部.jpg""",じゅうどうたいかい,じゅうどうぶ,,
電子工学同好会,電子工学同好会,FALSE,FALSE,TRUE,FALSE,FALSE,3301,コンピューター制御のロボットアーム、ラジコン戦車、自作のパソコンなどがあります。,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\3号館\電子工学同好会.jpg""",でんしこうがくあいこうかい,でんしこうがくどうこうかい,,
プリズンワールドからの脱出,ソフトテニス部,FALSE,FALSE,TRUE,FALSE,FALSE,3302,刑務所に送られたあなたは、5分間という短い時間で監獄から脱出できるのか？是非一度、捕まりに来てください。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\3号館\ソフトテニス部.png""",ぷりずんわーるどからのだっしゅつ,そふとてにすぶ,,
写真部,写真部,FALSE,FALSE,TRUE,FALSE,FALSE,3303,攻玉社でフォトジェニックな写真を味わいませんか？皆様のご来場、心からお待ちしております。,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\3号館\写真部.jpg""",しゃしんぶ,しゃしんぶ,,
山のすゝめ,トレッキング愛好会,FALSE,FALSE,TRUE,FALSE,FALSE,3304,は？登山？芋くさ...(ボソッ)っと思った君！輝玉祭は面白くない？だったら新名物山たたきでスッキリしよう！登った山の展示もあります。,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\3号館\トレッキング愛好会.jpg""",やまのすすめ,とれっきんぐあいこうかい,,
映画愛好会,映画研究愛好会,FALSE,FALSE,TRUE,FALSE,FALSE,3304,今年公開の「ハン・ソロ」や「ボヘミアン・ラプソディー」に合わせた展示をやってます。気軽に立ち寄ってみてください。,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\3号館\映画研究愛好会.jpg""",えいがあいこうかい,えいがけんきゅうあいこうかい,,
将棋部,将棋部,FALSE,FALSE,TRUE,FALSE,FALSE,新美術室,将棋部員と対戦しませんか？勝ち負け関係なく景品がもらえます。初心者から誰でもお待ちしております！,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\3号館\将棋部.jpg""",しょうぎぶ,しょうぎぶ,,
キックターゲット,中学サッカー部,FALSE,FALSE,TRUE,FALSE,FALSE,社会科室,一緒にキックターゲットしませんか？部活紹介もやってます。ぜひ来てください！,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\3号館\中学サッカー部.jpg""",きっくたーげっと,ちゅうがくさっかーぶ,,
LEGO,レゴ同好会,FALSE,FALSE,TRUE,FALSE,FALSE,家庭科室,部員が作ったレゴの展示をしています。レゴで遊べるスペースもあります。ぜひ来てください！,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\3号館\レゴ同好会.jpg""",LEGO,れごどうこうかい,,
すうがくであそぼ！,数学研究愛好会,FALSE,FALSE,TRUE,FALSE,FALSE,地学実験室,定番の入試予想問題配布に加え、今年から部員との100マス計算勝負、部員への質問コーナーも追加。「新化」した数研を見逃すな！,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\3号館\数学研究愛好会.jpg""",すうがくであそぼ,すうがくけんきゅうあいこうかい,,
朝鮮の地政学,地政学愛好会,FALSE,FALSE,TRUE,FALSE,FALSE,地学実験室,地政学愛好会が問いかけるのはこの国、いやこの星の未来だ！混沌の21世紀、世界を牽引していく明日のリーダーは君たちだ！,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\3号館\地政学愛好会.jpeg""",しょうせんのちせいがく,ちせいがくあいこうかい,,
資料展示,学園資料室,FALSE,FALSE,FALSE,TRUE,FALSE,204,４号館２階にて学園資料などを展示しております。,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\学園資料室.jpg""",しりょうてんじ,がくえんしりょうてんじしつ,,
ライブハウス,輝玉祭バンド部門,TRUE,FALSE,FALSE,FALSE,FALSE,311,黒Tシャツに身を包んだバンドマンたちが2日限りの特別ライブをお届けします。もちろん、途中参加・退席は自由です。,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,らいぶはうす,きぎょくさいばんどぶもん,,
PTAコーラス部,PTAコーラス部,FALSE,TRUE,FALSE,FALSE,FALSE,音楽室,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,PTAこーらすぶ,PTAこーらすぶ,,
中夜祭・後夜祭,輝玉祭イベント・バンド部門,TRUE,FALSE,FALSE,FALSE,FALSE,体育館,バンド部門、イベント部門が最大限盛り上げます！ダンス、ビンゴ、玉コレとGYOKU選の結果発表、バンドの演奏が行われます。ぜひお越しください！,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,ちゅうやさいこうやさい,きぎょくさいばんどぶもんいべんとばんどぶもん,,
ステージイベント,輝玉祭イベント部門,FALSE,FALSE,FALSE,FALSE,TRUE,校庭,イベント部門が様々な企画で輝玉祭を盛り上げます！学校一のイケメン・美女（？）を決める玉これ、玉社生によるダンス、その他企画が盛りだくさんです。一緒に楽しみましょう！,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,すてーじいべんと,きぎょくさいいべんとぶもん,,
販売,輝玉祭販売部門,FALSE,FALSE,FALSE,FALSE,TRUE,校庭,屋台にて食品販売を行っております。販売は食券制です。１号館１Fにてあらかじめ食券をお買い求めの上、お越しください。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,はんばい,きぎょくさいはんばいぶもん,,
喫茶,輝玉祭喫茶部門,TRUE,FALSE,FALSE,FALSE,FALSE,604・605・609・610,玉社生による出来立てほやほやの料理があなたの胃袋と心を満たします。喫茶は食券制です。１号館１Fにてあらかじめ食券をお買い求めの上、お越しください。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,きっさ,きぎょくさいきっさぶもん,,
学生食堂,,TRUE,FALSE,FALSE,FALSE,FALSE,111,学食メニューの提供を行っています。食堂は食券制です。105教室にてあらかじめ食券をお買い求めの上、お越しください。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,がくせいしょくどう,,,
PTAバザー・友愛バザー,PTA,TRUE,FALSE,FALSE,FALSE,FALSE,704・708・709・711,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,PTAばざーゆうあいばざー,PTA,,
まこと会,まこと会,TRUE,FALSE,FALSE,FALSE,TRUE,712・713・校庭,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,まことかい,まことかい,,
グッズ販売,攻玉社同窓会,FALSE,FALSE,FALSE,FALSE,TRUE,校庭,特設テントにて、野球帽やスポーツタオルなどオリジナルグッズの販売をいたします。ご来場の皆様、ご来校の記念にいかがでしょうか。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"""C:\Users\gangq\Documents\kigyokusai\pamphlet\assets\images\攻玉社同窓会.png""",ぐっずはんばい,こうぎょくしゃどうそうかい,,
食券販売所,,TRUE,FALSE,FALSE,FALSE,FALSE,105,販売・学食・喫茶はすべて食券制での販売となっています。食券はまずこちらでお買い求めください。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,しょけんはんばいしょ,,,
受付,,TRUE,FALSE,FALSE,FALSE,FALSE,１号館エントランス前,各種ご案内や遺失物に関するお問い合わせを承っております。また、スタンプラリーの景品引換もこちらで行っております。ご不明な点は遠慮なくお尋ねください。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,うけつけ,,,
,,,,,,,,,,,,,,,,,,,,,,,
